"1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","species"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44687319.716093,32216503.673584,48564240.8478492,NA,"Linaria vulgaris"
2,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,701724.971976653,4788746.99429376,4081443.58969031,3104863.64913093,1598076.76586072,NA,"Tanacetum parthenium"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31683538.0696291,33975562.2010543,35672129.6208374,2,"Epipactis helleborine"
189.640330115128,1,NA,283.370144776917,4236880.9764775,1,985602.455377393,7965065.53077292,2,1,39851.6363699589,304958.713881921,4017884.40909115,1169698.27241063,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,135027.437242648,NA,NA,NA,NA,NA,NA,1,1126775.55487396,2,1,NA,NA,100.115929610825,2,2,NA,1,NA,35598.5450708816,957554.46282911,23560540.1845972,23124318.4005854,15008914.8542562,8777948.17901872,33756013.7615569,NA,"Plantago lanceolata"
NA,1,NA,NA,1,NA,NA,NA,1,1,2,NA,624348.703165347,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,30439.3818823898,NA,NA,1,NA,2,NA,NA,1,171104.198850709,3870594.64209342,8218063.19674573,13067257.6363517,21807504.3063427,11668510.3017495,11841015.2364329,NA,"Lathyrus sylvestris"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,2,4745385.83205757,975989.480624303,1561413.53215065,2153663.80761661,29420176.1894672,20863136.2755121,20374865.7705477,6572685.8193832,11658950.3679529,5487453.98903816,"Perca flavescens"
NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2621202.02741663,13999.8889820732,1,NA,"Filipendula rubra"
483525.858234645,2,2,566.935702127838,2,1,1,1,16115141.8004863,2,2,1,2,1,181010.30956829,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,218717.34500716,NA,513218.168294653,7446301.6527071,2134192.90574712,1,NA,NA,"Achillea ptarmica"
4538.66397146072,1,1,105.140868580246,NA,NA,0,1159.16582709427,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,NA,1,NA,1146071.10426663,871832.718631633,3236271.7443804,4465371.47476286,23749097.3866061,18723071.1726706,14622730.4071599,18275960.732706,955828.998961639,"Aegopodium podagraria"
223796.495510565,6265140.31111241,0,13978384.4418224,52762.4518959885,4425428.40868361,9419893.21417154,16.9646686019897,282803.178079126,10664181.1683183,4247429.48529748,26142653.3549753,2308294.67837015,83507.6213914696,64989.961733136,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,60318.8370205536,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1045777.08224254,1,2,31102445.4460622,1051615.05357636,239525.016678926,112396.722621588,11699665.9994664,18678626.3994109,9360361.76522362,7999764.28594688,11577929.1300652,10203514.547604,1,"Barbarea vulgaris"
22812.3616174091,2,1,6703070.86190893,2353902.21084035,NA,73611.2701895897,6.26203342132568,0.860363306427002,NA,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,26182.7543476898,2,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,345218.106693915,2,1,1,2,263189.545330232,104700.279893516,6910001.88290645,2539121.38062651,18734231.9855542,25010136.7252882,21393438.8745671,NA,"Tragopogon pratensis"
NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,239305.741839558,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,2,2,1,491004.44752709,4621751.74738022,7030312.73424382,15701866.6255297,8140174.44931538,4488048.88615608,7435358.40353372,46284.5596497955,"Arctium lappa"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20195667.7291056,28637695.8365647,"Tussilago farfara"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,788036.613739189,119263.356728532,909443.289494099,NA,301214.928894743,NA,"Verbena bonariensis"
2,NA,1,NA,66906.7033620995,1,NA,1,1,0,NA,1,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,2,1,266122.364314256,NA,1,5223877.74775829,7536495.05935122,5850004.36401878,6738843.45652957,3534787.67385337,NA,"Hydrocharis morsus-ranae"
0,1,2,2,2517983.0768598,2064707.46103468,1,39018.417514061,1585256.14660798,2,1,1,4130023.10825814,523995.603389036,1219576.56711375,NA,NA,NA,1,1,31799578.7869231,5294736.97335327,1,1,171.330413654518,17198.3024736084,1,NA,7335596.4711428,0,NA,1,NA,489874.268557657,2,1,2,1,NA,NA,NA,1,4186.92077407379,1,1,NA,2,3860947.99652013,1330621.25987929,3204638.74728155,2931804.00897198,224204.473105897,4803103.44095608,NA,"Elymus repens"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11014431.1161246,14108256.3235654,1,"Solanum dulcamara"
2,2,1339.3844389183,1,NA,0,1,1,1,1,9763.76288011589,0,414806.082004606,833396.308574154,102808.959588266,1,1464315.40245812,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,2,2,2,1,1675.43342086639,2,NA,3302.2633891571,2,340035.180268757,117711.055310008,1106894.29962722,1139221.54614223,1690482.63831545,2183540.34693082,2624289.48524562,NA,"Silene flos-cuculi"
NA,2,1,1,9462730.48135009,2,2,0,2,1,1,1,292797.572388218,1,4346165.82510892,1,1,NA,1,2,1659575.63747919,3346370.07925519,1,1,1,1,NA,71966.8558130394,3425709.85975297,1,NA,NA,2,10554481.8190448,NA,2743755.97831481,1,1,2,1,1,1,NA,NA,2,NA,2,NA,NA,1,1,1,1965788.41621304,NA,"Poa compressa"
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,665760.62109217,837570.284395975,1031611.67702105,1239452.40969607,NA,"Rosa multiflora"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,632818.401269482,1200614.607531,4380662.07143822,3016175.56926393,NA,"Lysimachia clethroides"
