"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Centaurea jacea",1,1,1,1,462665.498309906,462665.498309906,648910.23735078,669446.390988201,999520.536025486,993168.125900642,993168.125900642,289803.462671277,119850.913189301,25902.8512071701,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,2,2,2,11704.85146194,10232.7654276566,2,229162.505737123,270412.813025276,270412.813025276,185571.995889935,185571.995889935,12130.9357786495,1255.91610363541,804444.157595706,14708291.2021063,15158508.9248167,17733780.4136092,17735300.2667404,20632719.7687213,20164636.392132,"Centaurea jacea"
"Lysimachia punctata",NA,NA,1,1,1,1,1,1,1,1,316.124604789734,316.124604789734,2,36934.3234726475,36934.3234726475,1,1,2,1,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2611277.7301146,2,7663196.53135391,9521183.80509291,10184876.9441287,12389031.3166415,13094620.2175479,14093785.1978132,14991343.1131837,18972492.0823062,18970018.5524735,"Lysimachia punctata"
"Osmerus mordax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,205991.428397626,936555.318666193,3888430.73016774,3888430.73016774,4256956.85131742,3242222.38804363,"Osmerus mordax"
"Linaria vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44962636.6746672,46017539.2774017,50978028.5563903,50978028.5563903,"Linaria vulgaris"
"Tanacetum parthenium",2,1817.50896146829,0,0,0,0,1,2,82513.3600849869,104943.109134332,104943.109134332,104943.109134332,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,132094.845833211,3023901.4536314,4902246.38853397,5711282.72866893,6536443.79300842,7071569.21374106,7071569.21374106,"Tanacetum parthenium"
"Epipactis helleborine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31796496.7330002,35634228.6670754,37140781.8519177,37140781.8519177,"Epipactis helleborine"
"Plantago lanceolata",51137.547002378,6349394.96109579,6277255.17128145,4985584.93965373,19597178.3386505,19597178.3386505,8331638.48497354,8414920.82375018,9080300.88570865,8587938.01050223,8673940.43073071,8720417.42550461,8132449.8867701,6349476.67824483,1236963.28314404,1,NA,1,2,2,138323.893561108,138323.893561108,2,2,1358591.00652815,1273103.97782828,1273103.97782828,1273103.97782828,135322.395088585,NA,NA,1,3240580.62610337,6761084.52236387,6761084.52236387,6761084.52236387,3005527.38810937,5356422.12560089,1994573.02001645,2212541.06455803,2212541.06455803,2280209.61114254,374960.896858155,2381121.32024515,3248031.14306461,27114005.2674916,28547996.0900266,30647932.2813942,31959940.0225103,39315695.9329108,38591760.9085228,"Plantago lanceolata"
"Lathyrus sylvestris",1,2,2,1,1,2,2,2209179.73247687,2209179.73247687,3069181.3985389,2955983.97369028,1944449.10792835,1346657.16807155,1346657.16807155,2,2,2,2,2,2,1,1,1,NA,1,1,1,1,2,1,1,2,2,1,635432.842195993,635432.842195993,29400.3148037323,743177.647551627,743177.647551627,188922.753751701,188922.753751701,188922.753751701,24840.6211893951,924672.580368008,4215200.37674539,12686518.3572696,15128120.3178419,22421283.6598783,23089269.8180468,23174269.8186183,23174269.8186183,"Lathyrus sylvestris"
"Perca flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2,8387121.89661659,8396330.05386171,9924437.73776227,6624358.82590169,13235569.2572412,14578607.9446804,31138810.502538,41641898.7421869,42031536.5169648,42031536.5169648,41946733.6264221,24399126.6766563,"Perca flavescens"
"Filipendula rubra",NA,NA,1,2,2,0,0,232.829901653755,727092.66046926,727092.66046926,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2673300.86568396,2791957.18539526,2791957.18539526,2791957.18539526,"Filipendula rubra"
"Achillea ptarmica",1305364.67879491,4351909.42697307,292758.835356921,2018956.91911478,1970393.04506469,23718652.1339629,19884745.0770945,26245221.3486593,22584643.7702044,30213749.9372374,19749897.3585476,21474284.278276,8999764.20810422,8999764.20810422,1707006.0706881,852397.354256586,50367.1679495301,50367.1679495301,1,1,2,1,1,2,2,1,1,1,NA,NA,1,12532.811492836,12532.811492836,12532.811492836,282518.501736119,19161.4325611488,1,1,1,NA,1,1,1,7562508.44553391,7562508.44553391,2173963.08524867,27285484.8115126,27772718.4945042,26961080.359847,26961080.359847,10127106.8436703,"Achillea ptarmica"
