"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Echinops sphaerocephalus",NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,132966.057205988,132966.057205988,2,1,1,"Echinops sphaerocephalus"
"Neogobius melanostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,2,188511.957374301,197052.411119276,281147.51652683,623045.046135375,623045.046135375,"Neogobius melanostomus"
"Eragrostis minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.464220263731,821.464220263731,821.464220263731,821.464220263731,821.464220263731,114839.00634949,369225.401427975,369225.401427975,2054848.43427033,2054848.43427033,"Eragrostis minor"
"Xanthogaleruca luteola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,818.362041345882,32942.5383027965,32942.5383027965,32942.5383027965,32942.5383027965,"Xanthogaleruca luteola"
"Eragrostis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52303037457466,4.52303037457466,4.52303037457466,4.52303037457466,4.52303037457466,2,2,2,136316.591763379,136316.591763379,"Eragrostis pilosa"
"Euphorbia davidii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,59.4369561735153,59.4369561735153,59.4369561735153,136.01722789917,136.01722789917,2,2,2,"Euphorbia davidii"
"Parthenocissus tricuspidata",NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0.349508014637418,37.8778108077588,1802.69773187513,1802.69773187513,1802.69773187513,"Parthenocissus tricuspidata"
"Vicia villosa",NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22309.8203253128,22309.8203253128,"Vicia villosa"
"Anthemis arvensis",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,"Anthemis arvensis"
"Poa annua",1886642.94830052,1891039.59751413,7717632.7014166,7717632.7014166,5452014.11973077,7901950.61058978,7901950.61058978,3895496.09583374,3740035.72409058,10050477.267159,20377908.8056123,20377908.8056123,20322583.5732427,19822759.4870289,15776426.7684199,137441.863004074,286253.821332295,286253.821332295,496692.203813654,690794.497783279,9538435.28437959,9538435.28437959,10830766.3953561,8599127.70459014,1064446.90345485,1,0,0,0,0,10605389.9495307,206826.591117762,32886164.5222339,59023465.8331507,59023465.8331507,59023465.8331507,59023465.8331507,39736113.2131147,21019814.0242729,20014788.9084402,5640077.17922634,6898078.07884159,1250756.58129825,2,5452932.42370779,4250578.98773892,2549806.26722413,3712317.65924772,3765552.59458786,10117125.6971647,6593690.36636999,"Poa annua"
"Euphrasia stricta",1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,2,2,2,2,2,NA,NA,NA,1,1,1,1,1,1,2,2,258622.061047153,404851.283747317,2743140.50989779,2433302.17317345,"Euphrasia stricta"
"Poa alba",4393593.13507881,14479682.6583131,14479682.6583131,14543021.8835686,14543021.8835686,6268455.74512922,72.6949862949371,33912.7782535517,529264.751089182,1895668.60733971,2464362.70309066,1266158.6809306,1254384.98891769,1046542.89216863,146596.934699615,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27775.5893047852,130800.593779352,130800.593779352,130800.593779352,130800.593779352,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poa alba"
"Hibiscus trionum",NA,0,0,0,0,0,NA,NA,2,0,561659.249158803,561659.249158803,561659.249158803,6.52342511180732,2,NA,NA,NA,1,1,1,1,1,NA,NA,2,2,2,2,2,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Hibiscus trionum"
"Vicia sativa",1,1,NA,NA,NA,NA,1,2,2,635294.457414844,635294.457414844,2,1,1,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vicia sativa"
"Chenopodium ficifolium",NA,2,0,7531.61007460976,8557.7569454566,9913.5211769918,362279.627491961,1415940.14061601,1799326.15713406,2992037.72455034,2954119.81796716,2954119.81796716,1963623.73306526,585719.468202784,2,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Chenopodium ficifolium"
"Spergularia media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spergularia media"
"Brassica juncea",1,52096.2163904364,52096.2163904364,70337.5250493757,70337.5250493757,70381.4241585689,54674.8564304143,57011.9438551988,100.446736456579,1783409.42418869,1783409.42418869,1783409.42418869,1783409.42418869,188543.851994276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,2,910097.332590939,10921474.5689064,15779274.6754001,6264430.34039032,6496456.06094333,5481706.72049729,2093727.1017644,2,2,1,"Brassica juncea"
"Rumex pseudonatronatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rumex pseudonatronatus"
"Galinsoga parviflora",NA,NA,NA,NA,NA,NA,NA,NA,1.11018589182645,1.11018589182645,1.11018589182645,1.11018589182645,1.11018589182645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2258.45248355141,2258.45248355141,2258.45248355141,"Galinsoga parviflora"
"Malus pumila",NA,1,2,2,211795.626575964,211795.626575964,190413.113348193,143333.410054468,143333.410054468,2,2,2,1,1,NA,NA,1,2,2,2,2,1,NA,NA,NA,2,2,2,11427.2427058167,11427.2427058167,1,1,1,NA,NA,NA,NA,2718434.68074455,2718434.68074455,2718434.68074455,2718434.68074455,2718434.68074455,1,2,2,2,1,1,NA,NA,NA,"Malus pumila"
"Sinapis arvense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569184.586296631,1436222.4649212,1482436.37978957,1482436.37978957,1482436.37978957,"Sinapis arvense"
"Raphanus sativus",2,2,1,2,5.79758695680052,50.0579121577024,50.0579121577024,50.0579121577024,4761.92846313148,779213.069961447,197231.466200323,197231.466200323,197231.466200323,43390.5586082182,2,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raphanus sativus"
"Cucumis sativus",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cucumis sativus"
"Mentha spicata",38295.5225920771,736555.594196783,701352.229222294,5902.97143389282,29048.4700632849,63668.8822307791,6900.50322424759,17953.9308395966,17953.9308395966,10.775817707102,1689.88647923527,1689.88647923527,2,2,2,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,2,2,2,2,1954875.97880981,1,1,1,1,9608664.23738494,9608664.23738494,9686585.39483931,10372474.7713489,10372474.7713489,1952809.90821526,"Mentha spicata"
"Echinacea purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,911651.489311224,1083534.56044084,7731251.82612831,7731251.82612831,8385227.05422269,9046672.48036976,8979750.67394382,3670089.9896165,"Echinacea purpurea"
"Trachemys scripta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,99027.9056531845,159112.971398311,196937.974445739,445509.562618865,977037.266397714,978994.32644256,978994.32644256,"Trachemys scripta"
"Althaea officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6491.24536115761,50034.7402499619,50034.7402499619,50034.7402499619,50034.7402499619,"Althaea officinalis"
"Arctium tomentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,9755812.67276292,9815730.6364699,9815730.6364699,9815705.46209928,"Arctium tomentosum"
"Sedum acre",191481.423931313,191481.423931313,1,77405.6837114867,965750.167567282,965750.167567282,5272674.99816902,5272674.99816902,3862586.11034362,1396440.05177522,1396440.05177522,190791.019190009,171838.450402313,65500.8502063599,1,1,NA,NA,NA,NA,NA,NA,1,2,392112.231424139,392112.231424139,392112.231424139,2,1,NA,1,1,1,1,1,NA,NA,882663.821702718,882663.821702718,882663.821702718,3928346.76286674,4021449.55393707,2805303.81869347,2492858.66242446,8765298.94616362,7530194.29291173,22655613.3414605,27402220.9345901,34900472.2257008,34922913.429804,34651428.1943929,"Sedum acre"
"Mus musculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,2,5688380.37330728,5688380.37330728,7411619.9687694,7605350.92527196,7583455.70243452,"Mus musculus"
"Dysdera crocata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,19429.9270921675,99665.8215477005,115641.590174357,115920.426758877,129567.980638955,"Dysdera crocata"
"Agonum muelleri",227560.291261517,614270.628787856,1612204.53035775,1612204.53035775,3089118.99466718,2464196.88203185,1554715.6762621,535896.552362552,535896.552362552,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,15921.2080392227,15921.2080392227,15921.2080392227,2,2,1,2,2,"Agonum muelleri"
"Nymphaea alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701.23303903542,1701.23303903542,"Nymphaea alba"
"Cyclachaena xanthiifolia",1,1,1,1,NA,NA,NA,1,0,73698.9969770229,80711.7120379219,80711.7120379219,187190.714661449,148275.88648662,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,478.862934243571,1788.366367506,1788.366367506,"Cyclachaena xanthiifolia"
"Eragrostis cilianensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,"Eragrostis cilianensis"
"Brassica napus",1,1,NA,1,1,1,1,1,2294.26621321244,1459979.20071448,1459979.20071448,1459979.20071448,1459979.20071448,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,"Brassica napus"
"Calystegia pellitus",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calystegia pellitus"
"Bromus tectorum",NA,1,1,1,1,1,NA,NA,NA,2,2,103268.719248418,103268.719248418,103268.719248418,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,2,2,1056.66047188721,1056.66047188721,"Bromus tectorum"
"Prunus domestica",1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prunus domestica"
"Lolium multiflorum",8.83662503796816,8.83662503796816,5052.16861202232,5052.16861202232,5052.16861202232,4619.94954442792,1,NA,1,1,227812.307970155,227812.307970155,227812.307970155,87450.0683832695,87450.0683832695,1,1,2,173364.917626666,173364.917626666,173364.917626666,173364.917626666,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75255.932519471,75255.932519471,75255.932519471,75255.932519471,1,NA,NA,1,2,2,2,2978342.49013914,2781384.4420929,"Lolium multiflorum"
"Ipomoea purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,16.8869001473367,10265.345376671,10265.345376671,2,292929.573477069,368451.06424131,1522537.09395703,1578949.23922078,2060003.54360476,2057692.07395373,"Ipomoea purpurea"
"Betula pendula",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2523.94872580719,5013637.11403235,14998218.0743733,14998218.0743733,14998218.0743733,"Betula pendula"
"Myrmica rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,199.930663238144,199.930663238144,107352.565057309,119839.785361974,75381.1537204649,"Myrmica rubra"
"Silene coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1626318.38699712,2038549.79841154,2752651.30384233,2948207.70007934,2948207.70007934,"Silene coronaria"
"Physalis philadelphica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,36009.658005954,36009.658005954,10471.7045888046,"Physalis philadelphica"
"Allium vineale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,36982.197479213,9502.35331356735,9502.35331356735,"Allium vineale"
"Malva sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6703.81744498253,24712.2827562734,1529006.34513338,1617602.66904701,1617602.66904701,"Malva sylvestris"
"Asparagus officinalis",1,360345.488230252,635544.581747646,635544.581747646,635544.581747646,1171988.62131183,315340.235085262,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,11908444.748533,13157408.8418972,22190803.7026804,23658236.3300603,23658236.3300603,19647798.6456755,"Asparagus officinalis"
"Centaurea nigra",170149.544301479,2569232.87262715,2593169.73127049,2593169.73127049,1508357.34955199,1511606.12433234,1980039.62790138,4862872.07024173,4862872.07024173,1362453.80270114,1351911.48988108,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,0,1,1174149.21162477,1174149.21162477,1174149.21162477,2945.36633111725,2945.36633111725,1,1,2,2,645026.143379723,588575.324472437,4136265.78916345,9996020.31641901,9996020.31641901,15514208.9277731,15514208.9277731,13313128.918681,4422302.0190596,6024248.96260172,7154280.96558833,15179033.8734755,15774139.1668859,22636425.002467,22354800.2459073,22354800.2459073,"Centaurea nigra"
"Diplotaxis muralis",1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,23982.050973568,23982.050973568,32306.2589847498,32306.2589847498,32306.2589847498,1,2,1,2,1906.9034636126,2433.3321530232,2252.5740937396,"Diplotaxis muralis"
"Lilium lancifolium",1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2759841.63503846,308287.545663098,308287.545663098,5907412.5851153,6301484.77863778,20962699.5872748,18132343.1189807,18132343.1189807,"Lilium lancifolium"
"Campanula trachelium",2,2,2,1.3107800493598,1.3107800493598,1,1,1,2,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,6454701.26733174,6454701.26733174,6454701.26733174,6454701.26733174,0,NA,1,2248.17411968904,2248.17411968904,169700.755551763,2025684.80047765,2451160.11431051,2451160.11431051,"Campanula trachelium"
"Malus baccata",NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,315743.817820327,315743.817820327,394924.330326356,53981.1472092638,"Malus baccata"
"Lolium perenne",1,21194.7501535376,21194.7501535376,21194.7501535376,1038683.81303942,1077110.5471004,0,1557521.95106778,1565439.4987423,3487054.10494974,3479116.88529734,3479116.88529734,1141942.50746682,2,1,NA,NA,1,1983822.33489816,1983822.33489816,1983822.33489816,1983822.33489816,2,NA,1,1,1,1,15115.5405039314,2,669654.591889331,669654.591889331,669654.591889331,2,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,3027786.16127909,3027786.16127909,"Lolium perenne"
"Anemone ranunculoides",NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,12083.8899705275,12083.8899705275,12083.8899705275,"Anemone ranunculoides"
"Centaurea nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,"Centaurea nigrescens"
"Bellis perennis",1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3482847.35822528,6400527.49888773,6400624.42278833,6451307.28607987,14057798.7523458,15246433.7062062,"Bellis perennis"
"Raphanus raphanistrum",265673.708564409,265673.708564409,168121.191789268,152722.028491252,734891.983622591,285322.30482207,933649.683258383,625519.628631532,1084977.79244715,2982617.59423352,3421309.43548376,4634530.05298278,4634530.05298278,4946213.68440959,2015791.27886146,237862.581400403,127099.054525711,127099.054525711,2,2,1,2,2,158481.207160322,3545557.35514357,3545557.35514357,2500058.73434039,2500058.73434039,314280.412714259,2,308136.050221281,2,2,2,2,1,1,2,2,6338250.08089854,6338250.08089854,1228805.63276505,1228805.63276505,1228805.63276505,2,687445.03939209,7483667.51704789,15291863.3904909,15291863.3904909,16698440.5659688,16698440.5659688,"Raphanus raphanistrum"
"Lamium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1431203.28068055,1745131.18950055,14164358.2223868,29015319.5661036,31536822.2027093,31536822.2027093,"Lamium maculatum"
"Datura stramonium",1,1,2,2980.157794701,3115.4475696578,2905.53211724987,2905.53211724987,50.3869603017807,20.6029887436151,2,0,0,401627.352563843,2,2,2,2,1,1,1,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,10288.6036086082,10310.0621962904,25148.1293275894,25148.1293275894,"Datura stramonium"
"Viola arvensis",1415841.57930795,1896555.55860711,4305525.97015376,4322613.33807713,4322613.33807713,225715.281921265,225715.281921265,225715.281921265,198640.634783359,3985849.18986057,3198999.35860186,3198999.35860186,2605098.53716237,2605098.53716237,2,NA,1,1,289493.434804428,289493.434804428,289493.434804428,0,18084.5644179375,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1137028.57944404,2,2,8220595.81753257,2,1863102.91217537,9848729.40200084,9848729.40200084,5052753.69383388,5052753.69383388,"Viola arvensis"
"Clematis vitalba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,"Clematis vitalba"
"Galium aparine",2,3386851.29123968,2780311.30471364,2780311.30471364,2780311.30471364,2,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,1,1,NA,1,1,1,2,287041.223265382,386.285455184746,591311.630869272,2152308.35199281,629470.095447842,650140.563853872,648354.274883993,3378467.92104407,203620.051385312,"Galium aparine"
"Rorippa sylvestris",1953.85830896251,1953.85830896251,2,2,2104.51929507091,316865.566725488,316865.566725488,316865.566725488,558945.826648621,1222246.06928285,1404721.42811584,1404721.42811584,1404721.42811584,1439260.07577128,668909.612044983,2,2,2,NA,1,1,1,1,2,2,342034.449579319,342034.449579319,342034.449579319,2,1,NA,NA,1,1,1,1,1,NA,NA,2,2,4301911.54259905,4490009.94854146,4490009.94854146,4472582.34570111,4472582.34570111,2,1,7009845.45271741,7009845.45271741,7009845.45271741,"Rorippa sylvestris"
"Alisma plantago-aquatica",1,2,13353.1686451206,13353.1686451206,28955.3990726908,174363.420214978,2553335.93859022,1528095.89202235,1495641.80223639,1396153.06755598,11227732.9831362,7442093.74624619,7442093.74624619,7442093.74624619,7442093.74624619,3141503.81560817,5281718.42191062,14474031.5195041,9956126.07127604,9956126.07127604,10040971.5506707,20158.1655520752,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"Alisma plantago-aquatica"
"Brassica campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brassica campestris"
